,Season,Rank,Player,Pos,Age,G,MP,PTS,AST,TRB,STL,BLK,FG%,eFG%,FT%,PF,WS,WS/48,First,Pts Won,Pts Max,Share,MVP,raptor_offense,raptor_defense,predator_offense,predator_defense
65,2000,6,Gary Payton,PG,31,82,41.8,24.2,8.9,6.5,1.9,0.2,0.448,0.502,0.735,2.2,13.9,0.195,0,180,1210,0.149,0,4.063230728,0.897712147,4.443131439,1.550040454
66,2000,7,Allen Iverson,SG,24,70,40.8,28.4,4.7,3.8,2.1,0.1,0.421,0.446,0.713,2.3,6.9,0.116,1,132,1210,0.109,0,0.90586637,-1.077458488,1.647699909,-0.816378188
67,2000,8,Grant Hill,SF,27,74,37.5,25.8,5.2,6.6,1.4,0.6,0.489,0.501,0.795,2.6,10.7,0.185,0,113,1210,0.093,0,-3.581425145,-1.000930153,-3.836716842,-1.617819833
68,2000,9,Chris Webber,PF,26,75,38.4,24.5,4.6,10.5,1.6,1.7,0.483,0.492,0.751,3.5,10.7,0.179,0,96,1210,0.079,0,4.721353995,2.383361635,5.253552514,2.649687788
69,2000,10,Vince Carter,SF,23,82,38.1,25.7,3.9,5.8,1.3,1.1,0.465,0.493,0.791,3.2,11.8,0.182,0,51,1210,0.042,0,2.981214909,-0.56756479,2.756818058,-0.48421899
70,2000,11,Jason Kidd,PG,26,67,39.0,14.3,10.1,7.2,2.0,0.4,0.409,0.442,0.829,2.2,8.5,0.156,0,25,1210,0.021,0,2.234227566,1.543487723,2.208994101,1.392239653
71,2000,12,Kobe Bryant,SG,21,66,38.2,22.5,4.9,6.3,1.6,0.9,0.468,0.488,0.821,3.3,10.6,0.202,0,3,1210,0.002,0,3.303705816,0.942004593,3.713772961,1.405313697
72,2000,13T,Darrell Armstrong,PG,31,82,31.6,16.2,6.1,3.3,2.1,0.1,0.433,0.494,0.911,1.7,8.0,0.149,0,1,1210,0.001,0,3.726113482,1.280989435,4.050281387,1.444651055
73,2000,13T,Michael Finley,SF,26,82,42.2,22.6,5.3,6.3,1.3,0.4,0.457,0.487,0.82,2.1,8.3,0.114,0,1,1210,0.001,0,2.706359303,-0.459971281,2.915128481,-0.256664927
74,2000,13T,Reggie Miller,SG,34,81,36.9,18.1,2.3,3.0,1.0,0.3,0.448,0.527,0.919,1.6,10.1,0.162,0,1,1210,0.001,0,6.535165146,-0.238823726,6.691434663,0.01953324
75,2000,13T,Jalen Rose,SF,27,80,37.2,18.2,4.0,4.8,1.1,0.6,0.471,0.503,0.827,2.9,7.3,0.118,0,1,1210,0.001,0,1.884047122,-0.57610299,2.255151474,-0.228010938
